ID,Binary Name
1,6tunnel
2,ated
3,bulkUpgrade
4,busybox
5,dhcp6c
6,dhcp6s
7,disktype
8,ds
9,flash
10,fwUpgrade
11,gpio
12,igmpproxy
13,ip6tables
14,iptables
15,iwconfig
16,iwevent
17,iwpriv
18,lld2d
19,llmnr
20,mii_mgr
21,miniupnpd
22,mlabel
23,modeSelectd
24,mtd_write
25,mtools
26,openssl
27,pppd
28,pppoe-discovery
29,pppoe-relay
30,pppoe-server
31,reg
32,resetd
33,routed
34,rt2860apd
35,switch
36,tc
37,uenv
38,upnpc
39,usbmount2
40,wakeOnLanProxy
41,wps_daemon
42,wscd
43,usbstorage.hotplug
44,app_sync
45,bridge_wan
46,bulkagent
47,clink
48,dhcp_discover
49,dnsmasq
50,dnsTest
51,drws
52,dumpleases
53,lang_merge
54,lanmapd
55,mailsend
56,mdb
57,mDNSResponderPosix
58,minidlna
59,mini_httpd
60,mldproxy
61,mpd
62,ncc
63,noip2
64,ntfs-3g
65,ntpclient
66,openl2tpd
67,pppListener
68,proxy
69,radvd
70,rdnssd
71,set_factory
72,signalc
73,smbd
74,smbpasswd
75,tsa
76,udhcpc
77,udhcpd
78,ult
79,wan_led_blink
80,watchdog
81,hotplugd
82,jcpd
83,sxstoragemanager
